"WordDirectory";"WordFile";"WordprocessingDirectory";"WordprocessingFile";"TypeNameSimilarityPercent";"FieldsSimilarityPercent"
".";"ToaFormat.cs";"Sdt";"DateFormat.cs";"73";"0"
".";"TocFormat.cs";"Sdt";"DateFormat.cs";"73";"0"
".";"TofFormat.cs";"Sdt";"DateFormat.cs";"73";"0"
".";"EnclosureType.cs";"Unused";"Color.cs";"72";"0"
".";"GutterStyle.cs";"Unused";"NumberStyle.cs";"72";"0"
".";"HorizontalInVerticalType.cs";"Vml";"HorizontalAnchorType.cs";"72";"0"
".";"LetterStyle.cs";"Unused";"BulletStyle.cs";"72";"0"
".";"ListGalleryType.cs";"Document";"DocPartGalleryType.cs";"72";"0"
".";"SeparatorType.cs";"Unused";"Story.cs";"72";"0"
".";"ShapePosition.cs";"Document";"CaptionPosition.cs";"71";"0"
".";"AlertLevel.cs";"Numbering";"MultiLevel.cs";"70";"0"
".";"Animation.cs";"Unused";"Information.cs";"70";"0"
".";"CellColor.cs";"Unused";"SchemeColor.cs";"70";"0"
".";"ListType.cs";"Styles";"StyleType.cs";"70";"0"
".";"OMathSpacingRule.cs";"Paragraph properties";"LineSpacingRule.cs";"70";"0"
".";"OMathType.cs";"Document";"DocPartType.cs";"70";"0"
