EnumTypesDirectory;EnumTypesFile;InteropEnumsDirectory;InteropEnumsFile;TypeNameSimilarityPercent;FieldsSimilarityPercent
Colors;WdColors.cs;Word;WdColor.cs;90.91;26.73
Wordprocessing\Numbering;NumberFormat.cs;Word;WdNumberForm.cs;90.91;0.0
Math;HorizontalAlignment.cs;Word;WdHorizontalLineAlignment.cs;90.48;100.0
Wordprocessing\Frames and framesets;HorizontalAlignment.cs;Word;WdHorizontalLineAlignment.cs;90.48;75.0
Vml;BlackAndWhiteMode.cs;Core;MsoBlackWhiteMode.cs;90.32;54.55
Drawings\Text elements and properties;TextAlignment.cs;Core;MsoTextureAlignment.cs;89.66;35.29
Wordprocessing\Paragraph properties;VerticalTextAlignment.cs;Word;WdVerticalAlignment.cs;89.47;66.67
Common properties;DocPropertyType.cs;Core;MsoPropertyType.cs;88.89;100.0
Wordprocessing\Unused;Unit.cs;Word;WdUnits.cs;88.89;100.0
Wordprocessing\Run properties;UnderlineType.cs;Core;XlUnderlineStyle.cs;88.89;26.09
Drawings.Diagrams;Connection.cs;Core;MsoConnectorType.cs;88.89;0.0
Wordprocessing.Vml;HorizontalAnchorType.cs;Core;MsoHorizontalAnchor.cs;88.89;0.0
Wordprocessing\Mail merge;MailMergeSource.cs;Word;WdMailMergeDataSource.cs;88.24;0.0
Drawings\Line properties;LineEndType.cs;Word;WdLineEndingType.cs;88.0;0.0
Drawings\3D;PresetMaterialType.cs;Core;MsoPresetMaterial.cs;87.5;70.97
Wordprocessing.Vml;VerticalAnchorType.cs;Core;MsoVerticalAnchor.cs;87.5;0.0
Wordprocessing\Table properties;TableVerticalAlignment.cs;Word;WdVerticalAlignment.cs;87.18;85.71
Drawings\Text elements and properties;TextFontAlignment.cs;Core;MsoTextFontAlign.cs;86.67;72.73
Wordprocessing\Footnotes and endnotes;NoteReferenceType.cs;Word;WdReferenceType.cs;86.67;50.0
Drawings\Text elements and properties;TextUnderline.cs;Core;MsoTextUnderlineType.cs;86.67;5.41
Math;Justification.cs;Word;WdJustificationMode.cs;86.67;0.0
Wordprocessing\Paragraph properties;Justification.cs;Word;WdJustificationMode.cs;86.67;0.0
Drawings.Charts\Formatting;PictureFormat.cs;Word;XlCopyPictureFormat.cs;86.67;0.0
Drawings.Charts\Formatting;ColorSchemeIndex.cs;Core;MsoThemeColorSchemeIndex.cs;86.49;100.0
Drawings\3D;PresetCameraType.cs;Core;MsoPresetCamera.cs;85.71;99.2
