InteropEnumsFullName,EnumTypesFullName
MsoBlackWhiteMode,DocumentModel.Drawings.BlackWhiteMode
MsoColorType,DocumentModel.Wordprocessing.ColorType
MsoConnectorType,DocumentModel.Vml.ConnectorType
MsoFillType,DocumentModel.Vml.FillType
MsoHorizontalAnchor,DocumentModel.Wordprocessing.HorizontalAnchor
MsoLightRigType,DocumentModel.Wordprocessing.Drawings.LightRigType
MsoOrientation,DocumentModel.Drawings.Charts.Orientation
MsoParagraphAlignment,DocumentModel.Wordprocessing.ParagraphAlignment
MsoPresetCamera,DocumentModel.Wordprocessing.Drawings.PresetCamera
MsoPresetMaterial,DocumentModel.Wordprocessing.Drawings.PresetMaterial
MsoScreenSize,DocumentModel.Vml.ScreenSize
MsoShadowType,DocumentModel.Vml.ShadowType
MsoTabStopType,DocumentModel.Wordprocessing.TabStopType
MsoTextCaps,DocumentModel.Drawings.TextCaps
MsoTextDirection,DocumentModel.Wordprocessing.TextDirection
MsoTextOrientation,DocumentModel.Wordprocessing.TextOrientation
MsoTextStrike,DocumentModel.Drawings.TextStrike
MsoVerticalAnchor,DocumentModel.Wordprocessing.VerticalAnchor
DocumentModel.Interop.Word.WdBuildingBlockTypes,DocumentModel.Wordprocessing.BuildingBlockType
DocumentModel.Interop.Word.WdHorizontalLineAlignment,DocumentModel.Vml.HorizontalRuleAlignment
DocumentModel.Interop.Word.WdColor,DocumentModel.WdColors
MsoTextureAlignment,DocumentModel.Drawings.TextAlignment
DocumentModel.Interop.Word.WdCellVerticalAlignment,DocumentModel.Math.VerticalAlignment
DocumentModel.Interop.Core.XlUnderlineStyle,DocumentModel.Wordprocessing.UnderlineType
DocumentModel.Interop.Word.WdNewDocumentType,DocumentModel.Wordprocessing.DocumentType
DocumentModel.Interop.Word.WdUnits,DocumentModel.Wordprocessing.Unit
DocumentModel.Interop.Word.XlUnderlineStyle,DocumentModel.Wordprocessing.UnderlineType
MsoPropertyType,DocPropertyType
DocumentModel.Interop.Word.WdMailMergeDataSource,DocumentModel.Wordprocessing.MailMergeSource
DocumentModel.Interop.Word.WdLineEndingType,DocumentModel.Drawings.LineEndType
DocumentModel.Interop.Core.MsoFileType,DocumentModel.Vml.FillType
DocumentModel.Interop.Word.WdJustificationMode,DocumentModel.Math.Justification
DocumentModel.Interop.Word.WdReferenceType,DocumentModel.Wordprocessing.NoteReferenceType
DocumentModel.Interop.Word.XlCopyPictureFormat,DocumentModel.Drawings.Charts.PictureFormat
MsoTextFontAlign,DocumentModel.Drawings.TextFontAlignment
MsoTextUnderlineType,DocumentModel.Wordprocessing.UnderlineType
MsoThemeColorSchemeIndex,DocumentModel.Drawings.ColorSchemeIndex
DocumentModel.Interop.Word.WdBuiltinStyle,DocumentModel.Wordprocessing.BuiltInStyleType
DocumentModel.Interop.Word.WdLineWidth,DocumentModel.Drawings.LineEndWidth
DocumentModel.Interop.Word.WdListNumberStyle,DocumentModel.Wordprocessing.ListLevelNumberStyle
