EnumTypeDirectory;EnumTypeName;InterfaceTypeDirectory;InterfaceTypeName
Word;LanguageID;Wordprocessing\Dictionaries;Dictionary
Word;LanguageID;Wordprocessing\Documents;Research
Word;LanguageID;Wordprocessing\Documents;Template
Word;LanguageID;Wordprocessing\Find  and replace;Find
Word;LanguageID;Wordprocessing\Find  and replace;Replacement
Word;LanguageID;Wordprocessing\Indexes;Index
Word;LanguageID;Wordprocessing\Ranges;Range
Word;LanguageID;Wordprocessing\Ranges;Selection
Word;LanguageID;Wordprocessing\Settings;Language
Word;LanguageID;Wordprocessing\Styles;Style
Word;LayoutMode;Wordprocessing\Pages;PageSetup
Word;LetterStyle;Wordprocessing\Documents;_Document
Word;LetterStyle;Wordprocessing\Mail merge;_LetterContent
Word;LetterheadLocation;Wordprocessing\Documents;_Document
Word;LetterheadLocation;Wordprocessing\Mail merge;_LetterContent
Word;Ligatures;Wordprocessing\Fonts;_Font
Word;LineEndingType;Wordprocessing\Documents;_Document
Word;LineSpacing;WordInterfaces\Paragraphs;Paragraph
Word;LineSpacing;Wordprocessing\Paragraph properties;_ParagraphFormat
Word;LineSpacing;Wordprocessing\Paragraphs;Paragraphs
Word;LineStyle;Drawings;LineFormat
Word;LineStyle;Drawings.Charts;Border
Word;LineStyle;Drawings.Charts;ChartBorder
Word;LineStyle;Wordprocessing\Borders;Border
Word;LineStyle;Wordprocessing\Borders;Borders
Word;LineStyle;Wordprocessing\Settings;Options
Word;LineType;Drawings;Line
Word;LineWidth;Wordprocessing\Borders;Border
Word;LineWidth;Wordprocessing\Borders;Borders
Word;LineWidth;Wordprocessing\Settings;Options
Word;LinkType;Wordprocessing\Documents;StyleSheets
Word;LinkType;Wordprocessing\OLEObjects;LinkFormat
Word;ListLevelAlignment;Wordprocessing\Lists;ListLevel
Word;ListType;Wordprocessing\Lists;ListFormat
Word;LockType;Wordprocessing\CoAuthoring;CoAuthLock
Word;LockType;Wordprocessing\CoAuthoring;CoAuthLocks
Word;MailMergeActiveRecord;Wordprocessing\Mail merge;MailMergeDataSource
Word;MailMergeComparison;Wordprocessing\Mail merge;MailMergeFields
Word;MailMergeDataSource;Wordprocessing\Mail merge;MailMerge
Word;MailMergeDataSource;Wordprocessing\Mail merge;MailMergeDataSource
Word;MailMergeDestination;Wordprocessing\Mail merge;MailMerge
Word;MailMergeMailFormat;Wordprocessing\Mail merge;MailMerge
Word;MailMergeMainDocType;Wordprocessing\Mail merge;MailMerge
Word;MailMergeState;Wordprocessing\Mail merge;MailMerge
Word;MailSystem;Application;_Application
Word;MeasurementUnits;Wordprocessing\Settings;Options
Word;MergeFormatFrom;Wordprocessing\Documents;_Document
Word;MergeTarget;Wordprocessing\Documents;_Document
Word;MonthNames;Wordprocessing\Settings;Options
Word;MoveFromTextMark;Wordprocessing\Settings;Options
Word;MoveToTextMark;Wordprocessing\Settings;Options
Word;MultipleWordConversionsMode;Wordprocessing\Settings;Options
Word;NumberForm;Wordprocessing\Fonts;_Font
Word;NumberSpacing;Wordprocessing\Fonts;_Font
Word;NumberType;Wordprocessing\Documents;_Document
Word;NumberType;Wordprocessing\Lists;List
Word;NumberingRule;Wordprocessing\Footnotes and endnotes;EndnoteOptions
Word;NumberingRule;Wordprocessing\Footnotes and endnotes;Endnotes
Word;NumberingRule;Wordprocessing\Footnotes and endnotes;FootnoteOptions
Word;NumberingRule;Wordprocessing\Footnotes and endnotes;Footnotes
Word;NumberingRule;Wordprocessing\Settings;LineNumbering
Word;OMathBreakBin;Wordprocessing\Documents;_Document
Word;OMathBreakSub;Wordprocessing\Documents;_Document
Word;OMathFracType;OMath;OMathFrac
Word;OMathFunctionType;OMath;OMathFunction
Word;OMathFunctionType;OMath;OMathFunctions
Word;OMathHorizAlignType;OMath;OMathMatCol
Word;OMathJc;OMath;OMath
Word;OMathJc;Wordprocessing\Documents;_Document
Word;OMathShapeType;OMath;OMathDelim
Word;OMathSpacingRule;OMath;OMathEqArray
Word;OMathSpacingRule;OMath;OMathMat
Word;OMathType;OMath;OMath
Word;OMathVertAlignType;OMath;OMathEqArray
Word;OMathVertAlignType;OMath;OMathMat
Word;OpenFormat;Converters;FileConverter
Word;OpenFormat;Wordprocessing\Settings;Options
Word;OriginalFormat;Application;_Application
Word;OriginalFormat;Wordprocessing\Documents;Documents
Word;OriginalFormat;Wordprocessing\Documents;_Document
Word;OutlineLevel;WordInterfaces\Paragraphs;Paragraph
Word;OutlineLevel;Wordprocessing\Paragraph properties;_ParagraphFormat
Word;OutlineLevel;Wordprocessing\Paragraphs;Paragraphs
Word;PageBorderArt;Wordprocessing\Borders;Border
Word;PageColor;Wordprocessing\Views;View
Word;PageFit;Wordprocessing\Views;Zoom
Word;PageNumberAlignment;Wordprocessing\Pages;PageNumber
Word;PageNumberAlignment;Wordprocessing\Pages;PageNumbers
Word;PageNumberStyle;Wordprocessing\Pages;PageNumbers
Word;PaperSize;Wordprocessing\Pages;PageSetup
Word;PaperTray;Wordprocessing\Mail merge;Envelope
Word;PaperTray;Wordprocessing\Mail merge;MailingLabel
Word;PaperTray;Wordprocessing\Pages;PageSetup
Word;ParagraphAlignment;Drawings.Text;ParagraphFormat2
Word;ParagraphAlignment;WordInterfaces\Paragraphs;Paragraph
Word;ParagraphAlignment;Wordprocessing\Paragraph properties;_ParagraphFormat
Word;ParagraphAlignment;Wordprocessing\Paragraphs;Paragraphs
Word;PasteOptions;Wordprocessing\Settings;Options
Word;PortugueseReform;Wordprocessing\Settings;Options
Word;PreferredWidthType;Wordprocessing\Ranges;Column
Word;PreferredWidthType;Wordprocessing\Ranges;Columns
Word;PreferredWidthType;Wordprocessing\Tables;Cell
Word;PreferredWidthType;Wordprocessing\Tables;Cells
Word;PreferredWidthType;Wordprocessing\Tables;Table
Word;PrintOutItem;Wordprocessing\Documents;_Document
Word;PrintOutPages;Wordprocessing\Documents;_Document
Word;PrintOutRange;Wordprocessing\Documents;_Document
Word;ProofreadingErrorType;Wordprocessing\AutoCorrect;ProofreadingErrors
Word;ProtectionType;Wordprocessing\Documents;_Document
Word;ReadingLayoutMargin;Wordprocessing\Views;View
Word;ReadingOrder;Drawings.Charts;AxisTitle
Word;ReadingOrder;Drawings.Charts;ChartTitle
Word;ReadingOrder;Drawings.Charts;DataLabel
Word;ReadingOrder;Drawings.Charts;DataLabels
Word;ReadingOrder;Drawings.Charts;DisplayUnitLabel
Word;ReadingOrder;Drawings.Charts;TickLabels
Word;ReadingOrder;WordInterfaces\Paragraphs;Paragraph
Word;ReadingOrder;Wordprocessing\Paragraph properties;_ParagraphFormat
Word;ReadingOrder;Wordprocessing\Paragraphs;Paragraphs
Word;RectangleType;Drawings;Rectangle
Word;ReferenceType;Wordprocessing\Documents;_Document
Word;RelativeHorizontalPosition;Drawings;Shape
Word;RelativeHorizontalPosition;Drawings;ShapeRange
Word;RelativeHorizontalPosition;Wordprocessing\Frames and framesets;Frame
Word;RelativeHorizontalPosition;Wordprocessing\Tables;Rows
Word;RelativeHorizontalSize;Drawings;Shape
Word;RelativeHorizontalSize;Drawings;ShapeRange
Word;RelativeVerticalPosition;Drawings;Shape
Word;RelativeVerticalPosition;Drawings;ShapeRange
Word;RelativeVerticalPosition;Wordprocessing\Frames and framesets;Frame
Word;RelativeVerticalPosition;Wordprocessing\Tables;Rows
Word;RelativeVerticalSize;Drawings;Shape
Word;RelativeVerticalSize;Drawings;ShapeRange
Word;RemoveDocInfoType;Wordprocessing\Documents;_Document
Word;Replace;Drawings;Shape
Word;Replace;Drawings;ShapeRange
Word;Replace;Drawings.Charts;Chart
Word;Replace;Drawings.Charts;SeriesCollection
Word;Replace;Drawings.Text;TextRange
Word;Replace;Wordprocessing\Find  and replace;Find
Word;RevisedLinesMark;Wordprocessing\Settings;Options
Word;RevisedPropertiesMark;Wordprocessing\Settings;Options
Word;RevisionType;Wordprocessing\Revisions;Conflict
Word;RevisionType;Wordprocessing\Revisions;Revision
Word;RevisionsBalloonMargin;Wordprocessing\Views;View
Word;RevisionsBalloonPrintOrientation;Wordprocessing\Settings;Options
Word;RevisionsBalloonWidthType;Wordprocessing\Views;View
Word;RevisionsMarkup;Wordprocessing\Revisions;RevisionsFilter
Word;RevisionsMode;Wordprocessing\Views;View
Word;RevisionsView;Wordprocessing\Revisions;RevisionsFilter
Word;RevisionsView;Wordprocessing\Views;View
Word;RgbColor;Drawings;Shading
Word;RgbColor;Wordprocessing\Borders;Border
Word;RgbColor;Wordprocessing\Borders;Borders
Word;RgbColor;Wordprocessing\ContentControls;ContentControl
Word;RgbColor;Wordprocessing\Fonts;_Font
Word;RgbColor;Wordprocessing\Frames and framesets;Frameset
Word;RgbColor;Wordprocessing\Settings;Options
Word;RoutingSlipDelivery;Wordprocessing\Documents;RoutingSlip
Word;RoutingSlipStatus;Wordprocessing\Documents;RoutingSlip
Word;RowAlignment;Wordprocessing\Tables;Row
Word;RowAlignment;Wordprocessing\Tables;Rows
Word;RowHeightRule;Wordprocessing\Tables;Cell
Word;RowHeightRule;Wordprocessing\Tables;Cells
Word;RowHeightRule;Wordprocessing\Tables;Row
Word;RowHeightRule;Wordprocessing\Tables;Rows
Word;SalutationGender;Wordprocessing\Mail merge;_LetterContent
Word;SalutationType;Wordprocessing\Documents;_Document
Word;SalutationType;Wordprocessing\Mail merge;_LetterContent
Word;SaveFormat;Converters;FileConverter
Word;SaveFormat;Wordprocessing\Documents;_Document
Word;SaveOptions;Wordprocessing\Documents;_Document
Word;ScrollbarType;Wordprocessing\Frames and framesets;Frameset
Word;SectionDirection;Wordprocessing\Pages;PageSetup
Word;SectionStart;Wordprocessing\Pages;PageSetup
Word;SeekView;Wordprocessing\Views;View
Word;SelectionFlags;Wordprocessing\Ranges;Selection
Word;SelectionType;Wordprocessing\Ranges;Selection
Word;SeparatorType;Wordprocessing\Captions;CaptionLabel
Word;SeparatorType;Wordprocessing\Pages;PageNumbers
Word;ShapePosition;Drawings;ShapeRange
Word;ShowFilter;Wordprocessing\Documents;_Document
Word;ShowSourceDocuments;Windows;Window
Word;ShowSourceDocuments;Wordprocessing\Windows;Window
Word;SmartTagControlType;Wordprocessing\SmartTags;SmartTagAction
Word;SortOrder;Application\FileSearch;FileSearch
Word;SpanishSpeller;Wordprocessing\Settings;Options
Word;SpecialPane;Wordprocessing\Views;View
Word;SpellingErrorType;Wordprocessing\AutoCorrect;SpellingSuggestions
Word;Statistic;Wordprocessing\Documents;_Document
Word;StoryType;Wordprocessing\Bookmarks;Bookmark
Word;StoryType;Wordprocessing\Documents;StoryRanges
Word;StoryType;Wordprocessing\Ranges;Range
Word;StoryType;Wordprocessing\Ranges;Selection
Word;StyleSheetLinkType;Wordprocessing\Documents;StyleSheet
Word;StyleSheetLinkType;Wordprocessing\Documents;StyleSheets
Word;StyleSheetPrecedence;Wordprocessing\Documents;StyleSheet
Word;StyleSheetPrecedence;Wordprocessing\Documents;StyleSheets
Word;StyleSort;Wordprocessing\Documents;_Document
Word;StyleType;Wordprocessing\Styles;Style
Word;StyleType;Wordprocessing\Styles;Styles
Word;StylisticSet;Wordprocessing\Fonts;_Font
Word;SummaryLength;Wordprocessing\Documents;_Document
Word;SummaryMode;Wordprocessing\Documents;_Document
Word;TabAlignment;Wordprocessing\Paragraph properties;TabStop
Word;TabLeader;Wordprocessing\Indexes;Index
Word;TabLeader;Wordprocessing\Paragraph properties;TabStop
Word;TabLeader;Wordprocessing\TableOf;TableOfAuthorities
Word;TabLeader;Wordprocessing\TableOf;TableOfContents
Word;TabLeader;Wordprocessing\TableOf;TableOfFigures
Word;TableDirection;Wordprocessing\Sections;TextColumns
Word;TableDirection;Wordprocessing\Tables;Rows
Word;TableDirection;Wordprocessing\Tables;Table
Word;TableDirection;Wordprocessing\Tables;TableStyle
Word;TemplateType;Wordprocessing\Documents;Template
Word;TextboxTightWrap;WordInterfaces\Paragraphs;Paragraph
Word;TextboxTightWrap;Wordprocessing\Paragraph properties;_ParagraphFormat
Word;TextureIndex;Drawings;Shading
Word;ToaFormat;Wordprocessing\TableOf;TablesOfAuthorities
Word;TocFormat;Wordprocessing\TableOf;TablesOfContents
Word;TofFormat;Wordprocessing\TableOf;TablesOfFigures
Word;TrailingCharacter;Wordprocessing\Lists;ListLevel
Word;TwoLinesInOneType;Wordprocessing\Ranges;Range
Word;UpdateStyleListBehavior;Wordprocessing\Settings;Options
Word;UseFormattingFrom;Wordprocessing\Documents;_Document
Word;VerticalAlignment;Drawings.Charts;AxisTitle
Word;VerticalAlignment;Drawings.Charts;ChartTitle
Word;VerticalAlignment;Drawings.Charts;DataLabel
Word;VerticalAlignment;Drawings.Charts;DataLabels
Word;VerticalAlignment;Drawings.Charts;DisplayUnitLabel
Word;VerticalAlignment;Wordprocessing\Pages;PageSetup
Word;VerticalAlignment;Wordprocessing\Tables;Cell
Word;VerticalAlignment;Wordprocessing\Tables;Cells
Word;ViewType;Wordprocessing\Ranges;TextRetrievalMode
Word;ViewType;Wordprocessing\Views;View
Word;ViewType;Wordprocessing\Views;Zooms
Word;VisualSelection;Wordprocessing\Settings;Options
Word;WindowState;Application;_Application
Word;WindowState;Application\TaskPanes;Task
Word;WindowState;Windows;Window
Word;WindowState;Wordprocessing\Windows;ProtectedViewWindow
Word;WindowState;Wordprocessing\Windows;Window
Word;WindowType;Windows;Window
Word;WindowType;Wordprocessing\Windows;Window
Word;WordDialog;Application\Dialogs;Dialog
Word;WordDialog;Application\Dialogs;Dialogs
Word;WordDialogTab;Application\Dialogs;Dialog
Word;WrapSide;Drawings;WrapFormat
Word;WrapType;Drawings;WrapFormat
Word;WrapTypeMerged;Wordprocessing\Settings;Options
Word;XMLNodeLevel;Wordprocessing\CustomXml;XMLNode
Word;XMLNodeType;CustomXML;CustomXMLNode
Word;XMLNodeType;CustomXML;_CustomXMLPart
Word;XMLNodeType;Wordprocessing\CustomXml;XMLNode
Word;XMLValidationStatus;Wordprocessing\CustomXml;XMLNode
Wordprocessing;BuildingBlockEnumTypes;Wordprocessing\BuildingBlocks;BuildingBlockTypes
Wordprocessing\Common;Direction;Drawings.Charts;Series
Wordprocessing\Common;Direction;Wordprocessing\Ranges;Range
Wordprocessing\Common;Direction;Wordprocessing\Ranges;Selection
Wordprocessing\Common;TextDirection;Drawings.Text;ParagraphFormat2
Wordprocessing\Common;TextDirection;Drawings.Text;TextColumn
Wordprocessing\Document;CaptionPosition;Wordprocessing\Captions;CaptionLabel
Wordprocessing\Document;DocumentDirection;Wordprocessing\Documents;Documents
Wordprocessing\Document;DocumentKind;Wordprocessing\Documents;_Document
Wordprocessing\Document;DocumentProtectionType;Wordprocessing\Documents;RoutingSlip
Wordprocessing\Document;DocumentProtectionType;Wordprocessing\Documents;_Document
Wordprocessing\Document;DocumentType;Wordprocessing\Documents;Documents
Wordprocessing\Document;PageOrientation;Wordprocessing\Pages;PageSetup
Wordprocessing\Document;SectionStart;Wordprocessing\Pages;PageSetup
Wordprocessing\Document;WordDocumentType;Wordprocessing\Documents;_Document
Wordprocessing\Drawings;RelativeHorizontalSize;Drawings;Shape
Wordprocessing\Drawings;RelativeHorizontalSize;Drawings;ShapeRange
Wordprocessing\Drawings;RelativeVerticalSize;Drawings;Shape
Wordprocessing\Drawings;RelativeVerticalSize;Drawings;ShapeRange
Wordprocessing\Fields and hyperlinks;TextBoxFormField;Wordprocessing\FormFields;TextInput
Wordprocessing\Footnotes and endnotes;EndnotePosition;Wordprocessing\Footnotes and endnotes;EndnoteOptions
Wordprocessing\Footnotes and endnotes;EndnotePosition;Wordprocessing\Footnotes and endnotes;Endnotes
Wordprocessing\Footnotes and endnotes;FootnotePosition;Wordprocessing\Footnotes and endnotes;FootnoteOptions
Wordprocessing\Footnotes and endnotes;FootnotePosition;Wordprocessing\Footnotes and endnotes;Footnotes
Wordprocessing\Footnotes and endnotes;ReferenceType;Wordprocessing\Documents;_Document
Wordprocessing\Frames and framesets;HorizontalAlignment;Drawings.Charts;AxisTitle
Wordprocessing\Frames and framesets;HorizontalAlignment;Drawings.Charts;ChartTitle
Wordprocessing\Frames and framesets;HorizontalAlignment;Drawings.Charts;DataLabel
Wordprocessing\Frames and framesets;HorizontalAlignment;Drawings.Charts;DataLabels
Wordprocessing\Frames and framesets;HorizontalAlignment;Drawings.Charts;DisplayUnitLabel
Wordprocessing\Frames and framesets;HorizontalAnchor;Drawings;TextFrame
Wordprocessing\Frames and framesets;HorizontalAnchor;Drawings.Text;TextFrame
Wordprocessing\Frames and framesets;VerticalAnchor;Drawings;TextFrame
Wordprocessing\Frames and framesets;VerticalAnchor;Drawings.Text;TextFrame
Wordprocessing\Headers and footers;HeaderFooterType;Wordprocessing\Headers and footers;HeaderFooter
Wordprocessing\Headers and footers;HeaderFooterType;Wordprocessing\Headers and footers;HeadersFooters
Wordprocessing\Mail merge;MailMergeActiveRecord;Wordprocessing\Mail merge;MailMergeDataSource
Wordprocessing\Mail merge;MailMergeComparison;Wordprocessing\Mail merge;MailMergeFields
Wordprocessing\Mail merge;MailMergeDestination;Wordprocessing\Mail merge;MailMerge
Wordprocessing\Mail merge;MailMergeMailFormat;Wordprocessing\Mail merge;MailMerge
Wordprocessing\Mail merge;MailMergeMainDocType;Wordprocessing\Mail merge;MailMerge
Wordprocessing\Mail merge;MailMergeState;Wordprocessing\Mail merge;MailMerge
Wordprocessing\Numbering;MultiLevel;Drawings.Charts;TickLabels
Wordprocessing\Numbering;NumberFormat;Drawings.Charts;DataLabel
Wordprocessing\Numbering;NumberFormat;Drawings.Charts;DataLabels
Wordprocessing\Numbering;NumberFormat;Drawings.Charts;TickLabels
Wordprocessing\Numbering;NumberFormat;Wordprocessing\Lists;ListLevel
Wordprocessing\Paragraph properties;Justification;OMath;OMath
Wordprocessing\Paragraph properties;LineSpacingRule;WordInterfaces\Paragraphs;Paragraph
Wordprocessing\Paragraph properties;LineSpacingRule;Wordprocessing\Paragraph properties;_ParagraphFormat
Wordprocessing\Paragraph properties;LineSpacingRule;Wordprocessing\Paragraphs;Paragraphs
Wordprocessing\Paragraph properties;OutlineLevel;WordInterfaces\Paragraphs;Paragraph
Wordprocessing\Paragraph properties;OutlineLevel;Wordprocessing\Paragraph properties;_ParagraphFormat
Wordprocessing\Paragraph properties;OutlineLevel;Wordprocessing\Paragraphs;Paragraphs
Wordprocessing\Paragraph properties;TabStopType;Drawings.Text;TabStop
Wordprocessing\Paragraph properties;TabStopType;Drawings.Text;TabStops
Wordprocessing\Paragraph properties;TextBoxTightWrap;WordInterfaces\Paragraphs;Paragraph
Wordprocessing\Paragraph properties;TextBoxTightWrap;Wordprocessing\Paragraph properties;_ParagraphFormat
Wordprocessing\Run properties;EmphasisMark;Wordprocessing\Fonts;_Font
Wordprocessing\Run properties;EmphasisMark;Wordprocessing\Ranges;Range
Wordprocessing\Run properties;Ligatures;Wordprocessing\Fonts;_Font
Wordprocessing\Run properties;NumberForm;Wordprocessing\Fonts;_Font
Wordprocessing\Run properties;NumberSpacing;Wordprocessing\Fonts;_Font
Wordprocessing\Run properties;TextEffect;Drawings;Shape
Wordprocessing\Run properties;TextEffect;Drawings;ShapeRange
Wordprocessing\Run properties;TextEffect;Wordprocessing\InlineShapes;InlineShape
Wordprocessing\Run properties;ThemeFont;Application\DispObjs;ThemeFont
Wordprocessing\Run properties;ThemeFont;Themes;ThemeFont
Wordprocessing\Run properties;ThemeFont;Themes;ThemeFonts
Wordprocessing\Run properties;UnderlineType;Drawings.Text;Font
Wordprocessing\Run properties;UnderlineType;Wordprocessing\Fonts;_Font
Wordprocessing\Run properties;UnderlineType;Wordprocessing\Ranges;Range
Wordprocessing\Run properties;VerticalPosition;Wordprocessing\Frames and framesets;Frame
Wordprocessing\Run properties;VerticalPosition;Wordprocessing\Tables;Rows
Wordprocessing\Sdt;DateFormat;Wordprocessing\Documents;_Document
Wordprocessing\Sdt;DateFormat;Wordprocessing\Mail merge;_LetterContent
Wordprocessing\Sections;PaperSize;Wordprocessing\Pages;PageSetup
Wordprocessing\Settings;ViewType;Wordprocessing\Ranges;TextRetrievalMode
Wordprocessing\Settings;ViewType;Wordprocessing\Views;View
Wordprocessing\Settings;ViewType;Wordprocessing\Views;Zooms
Wordprocessing\Styles;StyleType;Wordprocessing\Styles;Style
Wordprocessing\Styles;StyleType;Wordprocessing\Styles;Styles
Wordprocessing\Table properties;TableRowAlignment;Wordprocessing\Tables;Row
Wordprocessing\Table properties;TableRowAlignment;Wordprocessing\Tables;Rows
Wordprocessing\Table properties;TableRowAlignment;Wordprocessing\Tables;TableStyle
Wordprocessing\Table properties;TableVerticalAlignment;Wordprocessing\Tables;Cell
Wordprocessing\Table properties;TableVerticalAlignment;Wordprocessing\Tables;Cells
Wordprocessing\Table properties;WidthRule;Wordprocessing\Frames and framesets;Frame
Wordprocessing\Unused;BaselineAlignment;Drawings.Text;ParagraphFormat2
Wordprocessing\Unused;BaselineAlignment;WordInterfaces\Paragraphs;Paragraph
Wordprocessing\Unused;BaselineAlignment;Wordprocessing\Paragraph properties;_ParagraphFormat
Wordprocessing\Unused;BaselineAlignment;Wordprocessing\Paragraphs;Paragraphs
Wordprocessing\Unused;Case;Wordprocessing\Ranges;Range
Wordprocessing\Unused;ColorIndex;Drawings;Shading
Wordprocessing\Unused;ColorIndex;Drawings.Charts;Border
Wordprocessing\Unused;ColorIndex;Drawings.Charts;ChartBorder
Wordprocessing\Unused;ColorIndex;Drawings.Charts;Interior
Wordprocessing\Unused;ColorIndex;Drawings.Charts;LegendKey
Wordprocessing\Unused;ColorIndex;Drawings.Charts;Point
Wordprocessing\Unused;ColorIndex;Drawings.Charts;Series
Wordprocessing\Unused;ColorIndex;Wordprocessing\Borders;Border
Wordprocessing\Unused;ColorIndex;Wordprocessing\Borders;Borders
Wordprocessing\Unused;ColorIndex;Wordprocessing\Fonts;_Font
Wordprocessing\Unused;ColorIndex;Wordprocessing\Ranges;Range
Wordprocessing\Unused;ColorIndex;Wordprocessing\Settings;Options
Wordprocessing\Unused;ColorType;Drawings;ColorFormat
Wordprocessing\Unused;ColorType;Drawings;PictureFormat
Wordprocessing\Unused;Comparison;Application\ODSO;ODSOFilter
Wordprocessing\Unused;Comparison;Application\ODSO;ODSOFilters
Wordprocessing\Unused;Comparison;Wordprocessing\Mail merge;MailMergeFields
Wordprocessing\Unused;DateStorageFormat;Wordprocessing\ContentControls;ContentControl
Wordprocessing\Unused;Information;Common;ISystem
Wordprocessing\Unused;Information;Wordprocessing\Documents;_Document
Wordprocessing\Unused;Information;Wordprocessing\Ranges;Range
Wordprocessing\Unused;Information;Wordprocessing\Ranges;Selection
Wordprocessing\Unused;ListLevelAlignment;Wordprocessing\Lists;ListLevel
Wordprocessing\Unused;MeasurementUnits;Wordprocessing\Settings;Options
Wordprocessing\Unused;NumberStyle;Wordprocessing\Captions;CaptionLabel
Wordprocessing\Unused;NumberStyle;Wordprocessing\Footnotes and endnotes;EndnoteOptions
Wordprocessing\Unused;NumberStyle;Wordprocessing\Footnotes and endnotes;Endnotes
Wordprocessing\Unused;NumberStyle;Wordprocessing\Footnotes and endnotes;FootnoteOptions
Wordprocessing\Unused;NumberStyle;Wordprocessing\Footnotes and endnotes;Footnotes
Wordprocessing\Unused;NumberStyle;Wordprocessing\Lists;ListLevel
Wordprocessing\Unused;NumberStyle;Wordprocessing\Pages;PageNumbers
Wordprocessing\Unused;PageNumberStyle;Wordprocessing\Pages;PageNumbers
Wordprocessing\Unused;ParagraphAlignment;Drawings.Text;ParagraphFormat2
Wordprocessing\Unused;ParagraphAlignment;WordInterfaces\Paragraphs;Paragraph
Wordprocessing\Unused;ParagraphAlignment;Wordprocessing\Paragraph properties;_ParagraphFormat
Wordprocessing\Unused;ParagraphAlignment;Wordprocessing\Paragraphs;Paragraphs
Wordprocessing\Unused;SchemeColor;Drawings;ColorFormat
Wordprocessing\Unused;SortOrder;Application\FileSearch;FileSearch
Wordprocessing\Unused;Statistic;Wordprocessing\Documents;_Document
Wordprocessing\Unused;StylisticSet;Wordprocessing\Fonts;_Font
Wordprocessing\Unused;TabAlignment;Wordprocessing\Paragraph properties;TabStop
Wordprocessing\Unused;TabLeader;Wordprocessing\Indexes;Index
Wordprocessing\Unused;TabLeader;Wordprocessing\Paragraph properties;TabStop
Wordprocessing\Unused;TabLeader;Wordprocessing\TableOf;TableOfAuthorities
Wordprocessing\Unused;TabLeader;Wordprocessing\TableOf;TableOfContents
Wordprocessing\Unused;TabLeader;Wordprocessing\TableOf;TableOfFigures
Wordprocessing\Unused;TextOrientation;Drawings;CanvasShapes
Wordprocessing\Unused;TextOrientation;Drawings;Shapes
Wordprocessing\Unused;TextOrientation;Drawings;TextFrame
Wordprocessing\Unused;TextOrientation;Drawings.Text;TextFrame
Wordprocessing\Unused;TextOrientation;Wordprocessing\Ranges;Range
Wordprocessing\Unused;TextOrientation;Wordprocessing\Ranges;Selection
Wordprocessing\Unused;TrailingCharacter;Wordprocessing\Lists;ListLevel
Wordprocessing\Unused;TwoLinesInOneType;Wordprocessing\Ranges;Range
Wordprocessing\Unused;class;Application\Converter;IConverter
Wordprocessing\Unused;class;Drawings;Shapes
Wordprocessing\Unused;class;Wordprocessing\InlineShapes;InlineShapes
Wordprocessing\Unused;class;Wordprocessing\OLEControl;OLEFormat
Wordprocessing\Vml;WrapSide;Drawings;WrapFormat
Wordprocessing\Vml;WrapType;Drawings;WrapFormat
