EnumTypesDirectory;EnumTypesFile;InteropEnumsDirectory;InteropEnumsFile;TypeNameSimilarityPercent;FieldsSimilarityPercent
Wordprocessing\Document;DocPartType.cs;Core;XlChartType.cs;80;0
Wordprocessing\Footnotes and endnotes;EndnotePosition.cs;Word;WdEndnoteLocation.cs;80;0
Vml;RuleType.cs;Word;WdOLEType.cs;80;0
Drawings.Diagrams;StorageType.cs;Word;WdStoryType.cs;80;0
Wordprocessing\Run properties;VerticalPosition.cs;Word;WdRelativeVerticalPosition.cs;80;0
Common properties;DocPropertyType.cs;Core;DocProperties.cs;78;100
Drawings.Charts\Common\Axis;AxisPosition.cs;Core;MsoBarPosition.cs;78;72
Wordprocessing\Drawings;SizeRelativeHorizontally.cs;Word;WdRelativeHorizontalSize.cs;78;33
Wordprocessing\Headers and footers;HeaderFooterType.cs;Word;WdHeaderFooterIndex.cs;78;0
Drawings.Charts\Specific char types;ScatterStyle.cs;Word;WdGutterStyle.cs;78;0
Wordprocessing\Document;SectionMarkType.cs;Word;WdSelectionType.cs;78;0
Wordprocessing\Fields and hyperlinks;TextBoxFormField.cs;Word;WdTextFormFieldType.cs;78;0
Drawings.Charts\Common\Axis;Crosses.cs;Core;XlAxisCrosses.cs;77;57
Wordprocessing\Drawings;PenAlignment.cs;Word;WdPageNumberAlignment.cs;77;28
Drawings\Line properties;PenAlignment.cs;Word;WdPageNumberAlignment.cs;77;28
CustomUI;BoxStyle.cs;Core;MsoComboStyle.cs;77;0
Wordprocessing\Unused;DateStorageFormat.cs;Core;MsoDateTimeFormat.cs;77;0
Wordprocessing\Document;DocumentProtectionType.cs;Word;WdProtectionType.cs;77;0
Math;RunStyle.cs;Word;WdRulerStyle.cs;77;0
Wordprocessing\Document;TargetScreenSize.cs;Core;MsoScreenSize.cs;76;100
Drawings\Background properties;TargetScreenSize.cs;Core;MsoScreenSize.cs;76;100
Math;VertAlignmentType.cs;Word;WdVerticalAlignment.cs;76;85
Drawings.Charts\Formatting;Shape.cs;Core;XlBarShape.cs;76;50
Drawings.ChartDrawings;TickMarksType.cs;Core;XlTickMark.cs;76;50
Wordprocessing\Drawings;SizeRelativeVertically.cs;Word;WdRelativeVerticalSize.cs;76;33
Wordprocessing\Unused;Comparison.cs;Core;MsoFilterComparison.cs;76;25
Wordprocessing\Table properties;TableLayout.cs;Core;MsoCalloutType.cs;76;25
Math;FractionType.cs;Core;MsoReflectionType.cs;76;12
Wordprocessing\Run properties;TextEffect.cs;Core;MsoPresetTextEffect.cs;76;3
Wordprocessing\Fields and hyperlinks;InfoTextType.cs;Word;WdIndexType.cs;76;0
Wordprocessing\Unused;InteropStyle.cs;Core;MsoLineStyle.cs;76;0
Wordprocessing\Common;ProofingError.cs;Word;WdProofreadingErrorType.cs;76;0
Colors;ThemeColors.cs;Core;MsoThemeColorIndex.cs;76;0
Vml;StrokeLineStyle.cs;Core;MsoLineStyle.cs;75;90
Wordprocessing\Unused;TwoLinesInOneBracket.cs;Word;WdTwoLinesInOneType.cs;75;90
Drawings.ChartDrawings;FormulaDirection.cs;Word;WdFlowDirection.cs;75;0
Wordprocessing\Document;PageBorderOffset.cs;Word;WdPageBorderArt.cs;75;0
Wordprocessing\Document;PageBorderZOrder.cs;Word;WdPageBorderArt.cs;75;0
Wordprocessing\Frames and framesets;DropCapLocation.cs;Word;WdDropPosition.cs;74;66
Drawings\Effects;RectangleAlignment.cs;Word;WdVerticalAlignment.cs;74;46
Wordprocessing\Drawings;RectangleAlignment.cs;Word;WdVerticalAlignment.cs;74;42
Drawings.Charts\Common;PageSetupOrientation.cs;Core;MsoTextOrientation.cs;74;18
Drawings\Fill types;PresetPattern.cs;Core;MsoPresetMaterial.cs;74;2
Wordprocessing\Numbering;LevelJustification.cs;Word;WdJustificationMode.cs;74;0
Math;LimitLocation.cs;Core;MsoScriptLocation.cs;74;0
Drawings\Line properties;LineEndLength.cs;Word;WdLineEndingType.cs;74;0
Wordprocessing\Drawings;LineCap.cs;Core;MsoLineCapStyle.cs;73;100
Drawings\Line properties;LineCap.cs;Core;MsoLineCapStyle.cs;73;100
Wordprocessing\Unused;ListLevelPosition.cs;Word;WdTablePosition.cs;73;60
Wordprocessing\Document;DocPartGalleryType.cs;Word;XlChartGallery.cs;73;0
Wordprocessing\Document;PageBorderDisplay.cs;Word;WdPageBorderArt.cs;73;0
Wordprocessing\Sdt;SdtAppearance.cs;Word;XlPictureAppearance.cs;73;0
Wordprocessing\Bibliography;SourceType.cs;Core;XlScaleType.cs;73;0
Drawings\Effects;EffectContainment.cs;Core;MsoTextEffectAlignment.cs;72;20
Drawings.Diagrams;ConstraintType.cs;Core;MsoControlType.cs;72;0
Wordprocessing\Mail merge;MailMergeDocument.cs;Word;WdMailMergeDataSource.cs;72;0
Wordprocessing\Numbering;MultiLevel.cs;Word;WdOutlineLevel.cs;72;0
Vml;StrokeJoinStyle.cs;Core;MsoLineJoinStyle.cs;71;100
Wordprocessing\Unused;Index.cs;Word;WdIndexType.cs;71;16
Wordprocessing\Document;CharacterSpacing.cs;Core;MsoCharacterSet.cs;71;0
Drawings.Charts\Common;ChartBuildStep.cs;Core;MsoChartFieldType.cs;71;0
Common properties;DocumentSecurity.cs;Word;WdDocumentType.cs;71;0
Common properties;HyperlinkAction.cs;Core;MsoHyperlinkType.cs;71;0
Drawings.ChartDrawings;PosAlign.cs;Core;XlHAlign.cs;71;0
Drawings\Shape properties;Shapes.cs;Core;XlBarShape.cs;71;0
CustomUI;Style.cs;Core;MsoLineStyle.cs;71;0
Wordprocessing\Drawings;BevelPreset.cs;Core;MsoBevelType.cs;70;92
Drawings\Text elements and properties;TextShape.cs;Core;MsoTextCaps.cs;70;4
Wordprocessing\Document;ChapterSeparator.cs;Word;XlDataLabelSeparator.cs;70;0
Wordprocessing\Document;CryptProvider.cs;Core;EncryptionProviderDetail.cs;70;0
Wordprocessing\Unused;DateItem.cs;Core;XlChartItem.cs;70;0
Wordprocessing\Mail merge;MailMergeOdsoField.cs;Word;WdMailMergeDataSource.cs;70;0
Drawings.Diagrams;PointType.cs;Core;MsoIconType.cs;70;0
Drawings.Charts\Specific char types;RadarStyle.cs;Word;WdRulerStyle.cs;70;0
Wordprocessing\Unused;SchemeColor.cs;Word;WdCellColor.cs;70;0
