EnumTypesFullName,InteropEnumsFullName
DocumentModel.Wordprocessing.BaselineAlignmentKind,MsoBaselineAlignment
DocumentModel.Wordprocessing.TrailingCharacterKind,DocumentModel.Interop.Word.WdTrailingCharacter
DocumentModel.Wordprocessing.VerticalTextAlignment,DocumentModel.Interop.Word.WdVerticalAlignment
DocPropertyType,MsoPropertyType
DocumentModel.Drawings.Diagrams.ConnectionType,MsoConnectorType
DocumentModel.Wordprocessing.UnderlineType,DocumentModel.Interop.Core.XlUnderlineStyle
DocumentModel.Wordprocessing.Unit,DocumentModel.Interop.Word.WdUnits
DocumentModel.Wordprocessing.Vml.HorizontalAnchorType,MsoHorizontalAnchor
MeasurementUnitsKind,DocumentModel.Interop.Word.WdMeasurementUnits
DocumentModel.Wordprocessing.MailMergeSource,DocumentModel.Interop.Word.WdMailMergeDataSource
TextOrientationKind,MsoTextOrientation
DocumentModel.Drawings.LineEndType,DocumentModel.Interop.Word.WdLineEndingType
DocumentModel.Drawings.PresetMaterialType,MsoPresetMaterial
DocumentModel.Wordprocessing.Vml.VerticalAnchorType,MsoVerticalAnchor
DocumentModel.Wordprocessing.TableVerticalAlignment,DocumentModel.Interop.Word.WdVerticalAlignment
DocumentModel.Drawings.Charts.PictureFormat,DocumentModel.Interop.Word.XlCopyPictureFormat
DocumentModel.Drawings.TextFontAlignment,MsoTextFontAlign
DocumentModel.Drawings.TextUnderline,MsoTextUnderlineType
DocumentModel.Math.Justification,DocumentModel.Interop.Word.WdJustificationMode
DocumentModel.Wordprocessing.Justification,DocumentModel.Interop.Word.WdJustificationMode
DocumentModel.Wordprocessing.NoteReferenceType,DocumentModel.Interop.Word.WdReferenceType
DocumentModel.Drawings.ColorSchemeIndex,MsoThemeColorSchemeIndex
DocumentModel.Drawings.Charts.ErrorType,DocumentModel.Interop.Core.XlErrorBarType
DocumentModel.Drawings.LineEndWidth,DocumentModel.Interop.Word.WdLineWidth
DocumentModel.Drawings.PresetCameraType,MsoPresetCamera
DocumentModel.Drawings.TextTabAlignment,MsoTextTabAlign
DocumentModel.Vml.Alignment,DocumentModel.Interop.Word.WdRowAlignment
DocumentModel.Wordprocessing.BuiltInStyleType,DocumentModel.Interop.Word.WdBuiltinStyle
DocumentModel.Wordprocessing.BulletStyle,MsoBulletType
DocumentModel.Wordprocessing.ListLevelNumberStyle,DocumentModel.Interop.Word.WdListNumberStyle
DocumentModel.Wordprocessing.NumberStyle,DocumentModel.Interop.Word.WdNumberType
DocumentModel.Wordprocessing.OutlineLevelKind,DocumentModel.Interop.Word.WdOutlineLevel
DocumentModel.Wordprocessing.StylisticSetKind,DocumentModel.Interop.Word.WdStylisticSet
DocumentModel.Wordprocessing.TabAlignmentKind,DocumentModel.Interop.Word.WdTabAlignment
DocumentModel.Drawings.ChartDrawings.PageOrientation,MsoOrientation
DocumentModel.Drawings.Charts.LabelAlignment,DocumentModel.Interop.Word.WdTabAlignment
DocumentModel.Wordprocessing.LineSpacingRule,DocumentModel.Interop.Word.WdLineSpacing
DocumentModel.Wordprocessing.PageOrientation,MsoOrientation
InformationKind,DocumentModel.Interop.Word.WdInformation
ColorKind,DocumentModel.Interop.Core.XlColorIndex
DocumentModel.Drawings.ChartDrawings.GeoProjectionType,DocumentModel.Interop.Word.WdProtectionType
DocumentModel.Vml.ExtrusionType,MsoExtrusionColorType
DocumentModel.Vml.OleType,DocumentModel.Interop.Word.WdOLEType
DocumentModel.Wordprocessing.ColorIndexKind,DocumentModel.Interop.Core.XlColorIndex
DocumentModel.Wordprocessing.DateFormat,MsoDateTimeFormat
DocumentModel.Drawings.ChartDrawings.DataLabelPos,DocumentModel.Interop.Core.XlDataLabelPosition
DocumentModel.Drawings.Charts.BarDirection,DocumentModel.Interop.Core.XlErrorBarDirection
DocumentModel.Wordprocessing.TableRowAlignment,DocumentModel.Interop.Word.WdRowAlignment
DocumentModel.Vml.FillKind,DocumentModel.Interop.Word.WdFieldKind
DocumentModel.Drawings.Diagrams.Direction,MsoTextDirection
DocumentModel.Drawings.Diagrams.ElementType,MsoSegmentType
DocumentModel.Wordprocessing.Direction,MsoTextDirection
DocumentModel.Wordprocessing.FieldCharType,DocumentModel.Interop.Word.WdFieldType
DocumentModel.Wordprocessing.SortField,DocumentModel.Interop.Word.WdSortFieldType
DocumentModel.Wordprocessing.TabLeaderKind,DocumentModel.Interop.Word.WdTabLeader
DocumentModel.Wordprocessing.TabStopLeader,DocumentModel.Interop.Word.WdTabLeader
SortFieldKind,DocumentModel.Interop.Word.WdFieldKind
SortOrderKind,DocumentModel.Interop.Core.MsoSortOrder
StatisticKind,DocumentModel.Interop.Word.WdStatistic
DocumentModel.Wordprocessing.FontProperties,DocumentModel.Interop.Core.DocProperties
DocumentModel.Wordprocessing.MailMergeData,DocumentModel.Interop.Word.WdMailMergeState
DocumentModel.Wordprocessing.FootnotePosition,DocumentModel.Interop.Word.WdFootnoteLocation
DocumentModel.Drawings.Diagram1.STorageType,DocumentModel.Interop.Word.WdStoryType
DocumentModel.Drawings.Diagrams.HueDirection,MsoTextDirection
DocumentModel.Drawings.LightRigDirection,MsoPresetLightingDirection
DocumentModel.Vml.RuleType,DocumentModel.Interop.Word.WdOLEType
DocumentModel.Wordprocessing.Calendar,DocumentModel.Interop.Word.WdCalendarType
DocumentModel.Wordprocessing.DocPartType,DocumentModel.Interop.Core.XlChartType
DocumentModel.Wordprocessing.Drawings.LightRigDirection,MsoPresetLightingDirection
DocumentModel.Wordprocessing.EndnotePosition,DocumentModel.Interop.Word.WdEndnoteLocation
DocumentModel.Wordprocessing.SchemeColorKind,MsoThemeColorIndex
DocumentModel.Wordprocessing.VerticalPosition,DocumentModel.Interop.Word.WdRelativeVerticalPosition
DocumentModel.Wordprocessing.Vml.WrapSide,DocumentModel.Interop.Word.WdWrapSideType
RowSpacingRule,DocumentModel.Interop.Word.WdOMathSpacingRule
DocumentModel.Wordprocessing.HeaderFooterType,DocumentModel.Interop.Word.WdHeaderFooterIndex
DocumentModel.Wordprocessing.TextBoxFormField,DocumentModel.Interop.Word.WdTextFormFieldType
DocumentModel.Wordprocessing.SectionMarkType,DocumentModel.Interop.Word.WdSelectionType
DocumentModel.Drawings.Charts.AxisPosition,MsoBarPosition
DocumentModel.Drawings.Charts.ScatterStyle,DocumentModel.Interop.Word.WdGutterStyle
DocumentModel.Wordprocessing.Drawings.SizeRelativeHorizontally,DocumentModel.Interop.Word.WdRelativeHorizontalSize
DocumentModel.CustomUI.BoxStyle,MsoComboStyle
DocumentModel.Drawings.Charts.Crosses,DocumentModel.Interop.Core.XlAxisCrosses
DocumentModel.Math.RunStyle,DocumentModel.Interop.Word.WdRulerStyle
DocumentModel.Wordprocessing.DocumentProtectionType,DocumentModel.Interop.Word.WdProtectionType
DocumentModel.Drawings.PenAlignment,DocumentModel.Interop.Word.WdPageNumberAlignment
DocumentModel.Wordprocessing.DateStorageFormat,MsoDateTimeFormat
DocumentModel.Wordprocessing.Drawings.PenAlignment,DocumentModel.Interop.Word.WdPageNumberAlignment
DocumentModel.Drawings.Charts.Shape,DocumentModel.Interop.Core.XlBarShape
DocumentModel.Drawings.TargetScreenSize,MsoScreenSize
DocumentModel.Math.FractionType,MsoReflectionType
DocumentModel.ThemeColors,MsoThemeColorIndex
DocumentModel.Wordprocessing.Comparison,MsoFilterComparison
DocumentModel.Wordprocessing.ListLevelNumberStyleKind,DocumentModel.Interop.Word.WdListNumberStyle
DocumentModel.Wordprocessing.TableLayoutType,MsoCalloutType
DocumentModel.Wordprocessing.TargetScreenSize,MsoScreenSize
DocumentModel.Wordprocessing.TextEffect,MsoPresetTextEffect
DocumentModel.Wordprocessing.ProofingError,DocumentModel.Interop.Word.WdProofreadingErrorType
DocumentModel.Drawings.ChartDrawings.TickMarksType,DocumentModel.Interop.Core.XlTickMark
DocumentModel.Wordprocessing.Drawings.SizeRelativeVertically,DocumentModel.Interop.Word.WdRelativeVerticalSize
DocumentModel.Wordprocessing.InfoTextType,DocumentModel.Interop.Word.WdIndexType
DocumentModel.Wordprocessing.InteropStyle,MsoLineStyle
DocumentModel.Drawings.ChartDrawings.FormulaDirection,DocumentModel.Interop.Word.WdFlowDirection
DocumentModel.Wordprocessing.PageBorderOffset,DocumentModel.Interop.Word.WdPageBorderArt
DocumentModel.Wordprocessing.PageBorderZOrder,DocumentModel.Interop.Word.WdPageBorderArt
DocumentModel.Wordprocessing.TwoLinesInOneBracket,DocumentModel.Interop.Word.WdTwoLinesInOneType
DocumentModel.Vml.StrokeLineStyle,MsoLineStyle
DocumentModel.Drawings.Charts.PageSetupOrientation,MsoTextOrientation
DocumentModel.Drawings.RectangleAlignment,DocumentModel.Interop.Word.WdVerticalAlignment
DocumentModel.Wordprocessing.Drawings.RectangleAlignment,DocumentModel.Interop.Word.WdVerticalAlignment
