"File","Line","Kind","AttrArgs","PropertyType","Property","Field"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","64","Property","nameof(DXO10CUI.BackstageComboBox.GetEnabled)","String?","GetEnabled","_GetEnabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","71","Property","nameof(DXO10CUI.BackstageComboBox.Label)","String?","Label","_Label"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","78","Property","nameof(DXO10CUI.BackstageComboBox.GetLabel)","String?","GetLabel","_GetLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","85","Property","nameof(DXO10CUI.BackstageComboBox.Visible)","Boolean?","Visible","_Visible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","92","Property","nameof(DXO10CUI.BackstageComboBox.GetVisible)","String?","GetVisible","_GetVisible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","99","Property","nameof(DXO10CUI.BackstageComboBox.Keytip)","String?","Keytip","_Keytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","106","Property","nameof(DXO10CUI.BackstageComboBox.GetKeytip)","String?","GetKeytip","_GetKeytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","113","Property","nameof(DXO10CUI.BackstageComboBox.GetText)","String?","GetText","_GetText"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","120","Property","nameof(DXO10CUI.BackstageComboBox.OnChange)","String?","OnChange","_OnChange"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","127","Property","nameof(DXO10CUI.BackstageComboBox.SizeString)","String?","SizeString","_SizeString"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","134","Property","nameof(DXO10CUI.BackstageComboBox.GetItemCount)","String?","GetItemCount","_GetItemCount"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","141","Property","nameof(DXO10CUI.BackstageComboBox.GetItemLabel)","String?","GetItemLabel","_GetItemLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageComboBox.cs","148","Property","nameof(DXO10CUI.BackstageComboBox.GetItemID)","String?","GetItemID","_GetItemID"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","14","Property","nameof(DXO10CUI.BackstageDropDown.Id)","string?","Id","_Id"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","21","Property","nameof(DXO10CUI.BackstageDropDown.QualifiedId)","string?","QualifiedId","_QualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","28","Property","nameof(DXO10CUI.BackstageDropDown.Tag)","string?","Tag","_Tag"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","35","Property","nameof(DXO10CUI.BackstageDropDown.AlignLabel)","Expand?","AlignLabel","_AlignLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","42","Property","nameof(DXO10CUI.BackstageDropDown.Expand)","Expand?","Expand","_Expand"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","49","Property","nameof(DXO10CUI.BackstageDropDown.Enabled)","bool?","Enabled","_Enabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","56","Property","nameof(DXO10CUI.BackstageDropDown.GetEnabled)","string?","GetEnabled","_GetEnabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","63","Property","nameof(DXO10CUI.BackstageDropDown.Label)","string?","Label","_Label"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","70","Property","nameof(DXO10CUI.BackstageDropDown.GetLabel)","string?","GetLabel","_GetLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","77","Property","nameof(DXO10CUI.BackstageDropDown.Visible)","bool?","Visible","_Visible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","84","Property","nameof(DXO10CUI.BackstageDropDown.GetVisible)","string?","GetVisible","_GetVisible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","91","Property","nameof(DXO10CUI.BackstageDropDown.OnAction)","string?","OnAction","_OnAction"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","98","Property","nameof(DXO10CUI.BackstageDropDown.Screentip)","string?","Screentip","_Screentip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","105","Property","nameof(DXO10CUI.BackstageDropDown.GetScreentip)","string?","GetScreentip","_GetScreentip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","112","Property","nameof(DXO10CUI.BackstageDropDown.Supertip)","string?","Supertip","_Supertip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","119","Property","nameof(DXO10CUI.BackstageDropDown.GetSupertip)","string?","GetSupertip","_GetSupertip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","126","Property","nameof(DXO10CUI.BackstageDropDown.Keytip)","string?","Keytip","_Keytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","133","Property","nameof(DXO10CUI.BackstageDropDown.GetKeytip)","string?","GetKeytip","_GetKeytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","140","Property","nameof(DXO10CUI.BackstageDropDown.GetSelectedItemIndex)","string?","GetSelectedItemIndex","_GetSelectedItemIndex"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","147","Property","nameof(DXO10CUI.BackstageDropDown.SizeString)","string?","SizeString","_SizeString"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","154","Property","nameof(DXO10CUI.BackstageDropDown.GetItemCount)","string?","GetItemCount","_GetItemCount"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","161","Property","nameof(DXO10CUI.BackstageDropDown.GetItemLabel)","string?","GetItemLabel","_GetItemLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","168","Property","nameof(DXO10CUI.BackstageDropDown.GetItemID)","string?","GetItemID","_GetItemID"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","16","Property","nameof(DXO10CUI.BackstageEditBox.Id)","String?","Id","_Id"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","23","Property","nameof(DXO10CUI.BackstageEditBox.QualifiedId)","String?","QualifiedId","_QualifiedId"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","30","Property","nameof(DXO10CUI.BackstageEditBox.Tag)","String?","Tag","_Tag"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","37","Property","nameof(DXO10CUI.BackstageEditBox.AlignLabel)","Expand?","AlignLabel","_AlignLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","44","Property","nameof(DXO10CUI.BackstageEditBox.Expand)","Expand?","Expand","_Expand"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","51","Property","nameof(DXO10CUI.BackstageEditBox.Enabled)","Boolean?","Enabled","_Enabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","58","Property","nameof(DXO10CUI.BackstageEditBox.GetEnabled)","String?","GetEnabled","_GetEnabled"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","65","Property","nameof(DXO10CUI.BackstageEditBox.Label)","String?","Label","_Label"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","72","Property","nameof(DXO10CUI.BackstageEditBox.GetLabel)","String?","GetLabel","_GetLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","79","Property","nameof(DXO10CUI.BackstageEditBox.Visible)","Boolean?","Visible","_Visible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","86","Property","nameof(DXO10CUI.BackstageEditBox.GetVisible)","String?","GetVisible","_GetVisible"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","93","Property","nameof(DXO10CUI.BackstageEditBox.Keytip)","String?","Keytip","_Keytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","100","Property","nameof(DXO10CUI.BackstageEditBox.GetKeytip)","String?","GetKeytip","_GetKeytip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","107","Property","nameof(DXO10CUI.BackstageEditBox.GetText)","String?","GetText","_GetText"
