"File","DeclaringType","Property","Kind","Line"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","NonVisualConnectorShapeDrawingProperties","Element","36"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","Published","Property","29"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","ShapeProperties","Element","43"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","Style","Element","50"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","Graphic","Element","50"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","Macro","Property","22"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","NonVisualGraphicFrameProperties","Element","36"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","Published","Property","29"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","Transform","Element","43"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","ChildGroupShape","Element","48"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","ConnectionShape","Element","62"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","GraphicFrame","Element","55"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","GroupShapeProperties","Element","34"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","NonVisualGroupShapeProperties","Element","27"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","Picture","Element","69"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","Shape","Element","41"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","BlackWhiteMode","Property","30"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","EffectDag","Element","58"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","EffectList","Element","51"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","ExtensionList","Element","72"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","Fill","Element","44"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","Scene3DType","Element","65"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","TransformGroup","Property","37"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","BlipFill","Element","51"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","Macro","Property","23"
