"File","Property","Line"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","GetLabel","70"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","GetScreentip","105"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","GetSelectedItemIndex","140"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","GetSupertip","119"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","GetVisible","84"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","Id","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","Keytip","126"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","Label","63"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","OnAction","91"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","QualifiedId","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","Screentip","98"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","SizeString","147"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","Supertip","112"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","Tag","28"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageDropDown.cs","Visible","77"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","AlignLabel","37"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","Enabled","51"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","Expand","44"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","GetEnabled","58"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","GetKeytip","100"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageEditBox.cs","GetLabel","72"
