"File","DeclaringType","Property","Kind"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","ConnectionShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","Extent","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","FromAnchor","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","GraphicFrame","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","GroupShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","Picture","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\AbsoluteAnchorSize.cs","AbsoluteAnchorSize","Shape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\MarkerType.cs","MarkerType","XPosition","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\MarkerType.cs","MarkerType","YPosition","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","ConnectionShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","FromAnchor","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","GraphicFrame","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","GroupShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","Picture","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","Shape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Anchoring\RelativeAnchorSize.cs","RelativeAnchorSize","ToAnchor","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","Macro","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","NonVisualConnectorShapeDrawingProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","Published","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","ShapeProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\ConnectionShape.cs","ConnectionShape","Style","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","Graphic","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","Macro","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","NonVisualGraphicFrameProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","Published","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GraphicFrame.cs","GraphicFrame","Transform","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","ChildGroupShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","ConnectionShape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","GraphicFrame","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","GroupShapeProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","NonVisualGroupShapeProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","Picture","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShape.cs","GroupShape","Shape","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","BlackWhiteMode","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","EffectDag","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","EffectList","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","ExtensionList","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","Fill","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","Scene3DType","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\GroupShapeProperties.cs","GroupShapeProperties","TransformGroup","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","BlipFill","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","Macro","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","NonVisualPictureProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","Published","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","ShapeProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Picture.cs","Picture","Style","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","LockText","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","Macro","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","NonVisualShapeProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","Published","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","ShapeProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","Style","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","TextBody","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\Shape.cs","Shape","TextLink","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\TextBody.cs","TextBody","BodyProperties","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\TextBody.cs","TextBody","ListStyle","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Graphical elements\TextBody.cs","TextBody","Paragraph","Element"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectionShapeProperties.cs","NonVisualConnectionShapeProperties","ConnectionShapeLocks","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectionShapeProperties.cs","NonVisualConnectionShapeProperties","EndConnection","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectionShapeProperties.cs","NonVisualConnectionShapeProperties","StartConnection","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectorShapeDrawingProperties.cs","NonVisualConnectorShapeDrawingProperties","NonVisualConnectionShapeProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualConnectorShapeDrawingProperties.cs","NonVisualConnectorShapeDrawingProperties","NonVisualDrawingProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Description","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Hidden","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","HyperlinkOnClick","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","HyperlinkOnHover","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Id","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Name","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","NonVisualDrawingPropertiesExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualDrawingProperties.cs","NonVisualDrawingProperties","Title","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGraphicFrameDrawingProperties.cs","NonVisualGraphicFrameDrawingProperties","GraphicFrameLocks","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGraphicFrameProperties.cs","NonVisualGraphicFrameProperties","NonVisualDrawingProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGraphicFrameProperties.cs","NonVisualGraphicFrameProperties","NonVisualGraphicFrameDrawingProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGroupShapeDrawingProperties.cs","NonVisualGroupShapeDrawingProperties","GroupShapeLocks","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGroupShapeDrawingProperties.cs","NonVisualGroupShapeDrawingProperties","NonVisualGroupDrawingShapePropsExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGroupShapeProperties.cs","NonVisualGroupShapeProperties","NonVisualDrawingProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGroupShapeProperties.cs","NonVisualGroupShapeProperties","NonVisualGroupShapeDrawingProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureDrawingProperties.cs","NonVisualPictureDrawingProperties","NonVisualPicturePropertiesExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureDrawingProperties.cs","NonVisualPictureDrawingProperties","PictureLocks","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureDrawingProperties.cs","NonVisualPictureDrawingProperties","PreferRelativeResize","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureProperties.cs","NonVisualPictureProperties","NonVisualDrawingProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureProperties.cs","NonVisualPictureProperties","NonVisualPictureDrawingProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualShapeDrawingProperties.cs","NonVisualShapeDrawingProperties","ShapeLocks","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualShapeDrawingProperties.cs","NonVisualShapeDrawingProperties","TextBox","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualShapeProperties.cs","NonVisualShapeProperties","NonVisualDrawingProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualShapeProperties.cs","NonVisualShapeProperties","NonVisualShapeDrawingProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Style.cs","Style","EffectReference","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Style.cs","Style","FillReference","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Style.cs","Style","FontReference","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Style.cs","Style","LineReference","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","Extents","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","HorizontalFlip","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","Offset","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","Rotation","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","VerticalFlip","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Address.cs","Address","Address1","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Address.cs","Address","AdminDistrict1","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Address.cs","Address","AdminDistrict2","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Address.cs","Address","CountryRegion","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Address.cs","Address","IsoCountryCode","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Address.cs","Address","Locality","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Address.cs","Address","PostalCode","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ApplicationNonVisualDrawingProperties.cs","ApplicationNonVisualDrawingProperties","Macro","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ApplicationNonVisualDrawingProperties.cs","ApplicationNonVisualDrawingProperties","Published","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Axis.cs","Axis","Hidden","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Axis.cs","Axis","Id","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisTitle.cs","AxisTitle","ExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisTitle.cs","AxisTitle","ShapeProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisTitle.cs","AxisTitle","Text","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisTitle.cs","AxisTitle","TxPrTextBody","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnits.cs","AxisUnits","AxisUnitsLabel","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnits.cs","AxisUnits","ExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnits.cs","AxisUnits","Unit","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnitsLabel.cs","AxisUnitsLabel","ExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnitsLabel.cs","AxisUnitsLabel","ShapeProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnitsLabel.cs","AxisUnitsLabel","Text","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\AxisUnitsLabel.cs","AxisUnitsLabel","TxPrTextBody","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","BinCountXsdunsignedInt","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","IntervalClosed","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","Overflow","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","Underflow","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Binning.cs","Binning","Xsddouble","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\CategoryAxisScaling.cs","CategoryAxisScaling","GapWidth","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Chart.cs","Chart","ChartTitle","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Chart.cs","Chart","ExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Chart.cs","Chart","Legend","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Chart.cs","Chart","PlotArea","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartData.cs","ChartData","ExternalData","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","Chart","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","ChartData","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","ColorMappingType","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","ExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","FormatOverrides","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","PrintSettings","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","ShapeProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartSpace.cs","ChartSpace","TxPrTextBody","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartStringValue.cs","ChartStringValue","Index","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","Align","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","ExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","Overlay","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","Pos","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","ShapeProperties","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","Text","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ChartTitle.cs","ChartTitle","TxPrTextBody","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Clear.cs","Clear","GeoChildEntitiesQueryResults","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Clear.cs","Clear","GeoDataEntityQueryResults","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Clear.cs","Clear","GeoDataPointToEntityQueryResults","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Clear.cs","Clear","GeoLocationQueryResults","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Clear.cs","Clear","GeoParentEntitiesQueryResults","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Accent1","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Accent2","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Accent3","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Accent4","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Accent5","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Accent6","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Background1","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Background2","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","ExtensionList","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","FollowedHyperlink","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Hyperlink","Property"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\ColorMappingType.cs","ColorMappingType","Text1","Property"
