EnumFile	Folder
StyleType.cs	Styles
StylisticSet.cs	Text properties
SubscriberFormats.cs	Unused
SummaryLength.cs	Document
SummaryMode.cs	Document
TabAlignment.cs	Paragraph properties
TabLeader.cs	Ambiguous
TabLeaderHID.cs	Unused
TableDirection.cs	Ambiguous
TableFieldSeparator.cs	Unused
TableFormat.cs	Unused
TableFormatApply.cs	Unused
TablePosition.cs	Unused
TaskPanes.cs	Unused
TaskPaneType.cs	Unused
TCSCConverterDirection.cs	Unused
TemplateType.cs	Document
TextboxTightWrap.cs	Ambiguous
TextFormFieldType.cs	FormFields
TextOrientation.cs	Ambiguous
TextOrientationHID.cs	Unused
TextureIndex.cs	Drawings
ThemeColorIndex.cs	Drawings
TickLabelOrientation.cs	Charts
TickLabelPosition.cs	Charts
TickMark.cs	Charts
TimeUnit.cs	Charts
ToaFormat.cs	TablesOf
TocFormat.cs	TablesOf
TofFormat.cs	TablesOf
TrailingCharacter.cs	Numbering lists
TrendlineType.cs	Charts
TwoLinesInOneType.cs	Range and Selection
Underline.cs	Ambiguous
UnderlineStyle.cs	Unused
Units.cs	Ambiguous
UpdateStyleListBehavior.cs	Options
UseFormattingFrom.cs	Document
VAlign.cs	Unused
VerticalAlignment.cs	Ambiguous
ViewType.cs	Ambiguous
ViewTypeOld.cs	Unused
VisualSelection.cs	Options
WdBuildingBlockTypes.cs	Unused
WindowState.cs	Ambiguous
WindowType.cs	Windows and Panes
WordDialog.cs	Dialogs
WordDialogHID.cs	Unused
WordDialogTab.cs	Dialogs
WordDialogTabHID.cs	Unused
WrapSideType.cs	Drawings
WrapType.cs	Drawings
WrapTypeMerged.cs	Options
XlColorIndex.cs	Unused
XlConstants.cs	Unused
XlLineStyle.cs	Unused
XlOrientation.cs	Unused
XlReadingOrder.cs	Unused
XMLNodeLevel.cs	CustomXml
XMLNodeType.cs	CustomXml
XMLSelectionChangeReason.cs	Unused
XMLValidationStatus.cs	CustomXml
